var,control_n_Asthma,control_pc_Asthma,case_n_Asthma,case_pc_Asthma,control_n_Eczema,control_pc_Eczema,case_n_Eczema,case_pc_Eczema,asthma_dif,eczema_dif
n,1523963,NA,460052,NA,1333281,NA,434422,NA,NA,NA
age,45,19.04,44,19.59,47,19.55,47,20.61,0.5500000000000007,1.0599999999999987
"(18,20]",39369,0.03,14164,0.03,36035,0.03,15157,0.03,0,0
"(20,40]",525753,0.34,173191,0.38,429789,0.32,145884,0.34,0.03999999999999998,0.020000000000000018
"(40,60]",503261,0.33,139846,0.3,426218,0.32,125195,0.29,-0.030000000000000027,-0.030000000000000027
"(60,80]",354287,0.23,101427,0.22,337987,0.25,108912,0.25,-0.010000000000000009,0
"(80,100]",100746,0.07,31236,0.07,102638,0.08,39038,0.09,0,0.009999999999999995
NA,547,0,188,0,614,0,236,0,0,0
Female,251926,0.55,812165,0.53,251251,0.58,738279,0.55,-0.020000000000000018,-0.029999999999999916
Male,208126,0.45,711798,0.47,183171,0.42,595002,0.45,0.019999999999999962,0.030000000000000027
A,1926799,0.05,975374,0.05,1682968,0.05,1094261,0.05,0,0
B,820231,0.02,302284,0.02,753339,0.02,334192,0.02,0,0
C,1264148,0.03,514554,0.03,1188362,0.04,562111,0.03,0,-0.010000000000000002
D,247515,0.01,108191,0.01,231534,0.01,123540,0.01,0,0
E,1931569,0.05,882809,0.05,1758796,0.05,898402,0.04,0,-0.010000000000000002
F,3506317,0.09,1646876,0.09,3164882,0.09,1881593,0.09,0,0
G,2052999,0.06,774714,0.04,1932214,0.06,898622,0.04,-0.019999999999999997,-0.019999999999999997
H,4674031,0.13,3749548,0.2,4667773,0.14,3084576,0.15,0.07,0.009999999999999981
J,2155831,0.06,973010,0.05,1980883,0.06,1060600,0.05,-0.009999999999999995,-0.009999999999999995
K,2707749,0.07,1175688,0.06,2491376,0.07,1322317,0.06,-0.010000000000000009,-0.010000000000000009
L,598329,0.02,209220,0.01,533568,0.02,209963,0.01,-0.01,-0.01
M,4028081,0.11,2514200,0.13,3257706,0.1,3271889,0.16,0.020000000000000004,0.06
N,5616606,0.15,2480793,0.13,5234908,0.15,2767416,0.14,-0.01999999999999999,-0.009999999999999981
P,107741,0,44562,0,92357,0,44452,0,0,0
Q,31416,0,15534,0,27364,0,16607,0,0,0
R,2534248,0.07,1291679,0.07,2358312,0.07,1423084,0.07,0,0
S,2281093,0.06,1003296,0.05,2022697,0.06,996966,0.05,-0.009999999999999995,-0.009999999999999995
T,522249,0.01,234678,0.01,473744,0.01,244699,0.01,0,0
U,105725,0,45948,0,92673,0,41420,0,0,0
W,1,0,0,0,1,0,0,0,0,0
V,NA,NA,NA,NA,1,0,0,0,NA,0
